info: socket.io started
hey 0 [ 'hey', 'hey' ]
hey 1 [ 'hey', 'hey' ]
serialPort: [object Object]
serialPort: [object Object]
opened
opened
[ 0, 0.25, 8.35, 8.77 ]
[ 0.02, 0.26, 8.35, 8.69 ]
[ 0.01, 0.26, 8.31, 8.57 ]
[ 0, 0.37, 8.3, 8.62 ]
[ 0.02, 0.25, 8.34, 8.79 ]
[ 0, 0.25, 8.27, 8.6 ]
[ 0, 0.37, 8.3, 8.57 ]
[ 0, 0.24, 8.3, 8.56 ]
[ 0.01, 0.25, 8.35, 8.63 ]
[ 0.03, 0.38, 8.39, 8.7 ]
[ 0.08, 0.36, 8.33, 8.69 ]
[ 0.08, 0.36, 8.39, 8.7 ]
[ 0, 0.26, 8.3, 8.59 ]
[ 0.01, 0.54, 8.32, 8.65 ]
[ 0.02, 0.25, 8.38, 8.73 ]
[ 0, 0.25, 8.39, 8.75 ]
[ 0.01, 0.36, 8.33, 8.76 ]
[ 0.02, 0.25, 8.37, 8.67 ]
[ 0, 0.25, 8.37, 8.71 ]
[ 0, 0.25, 8.35, 8.6 ]
[ 0, 0.37, 8.32, 8.61 ]
[ 0, 0.25, 8.3, 8.57 ]
[ 0, 0.26, 8.32, 8.56 ]
[ 0, 0.37, 8.34, 8.72 ]
[ 0, 0.25, 8.33, 8.76 ]
[ 0, 0.26, 8.37, 8.72 ]
[ 0.01, 0.26, 8.36, 8.67 ]
[ 0, 0.37, 8.33, 8.7 ]
[ 0.02, 0.25, 8.35, 8.65 ]
[ 0, 0.26, 8.35, 8.65 ]
[ 0, 0.37, 8.37, 8.66 ]
[ 0, 0.25, 8.38, 8.79 ]
[ 0.01, 0.26, 8.31, 8.63 ]
[ 0.01, 0.38, 8.28, 8.56 ]
[ 0, 0.25, 8.28, 8.53 ]
[ 0, 0.26, 8.31, 8.58 ]
[ 0, 0.26, 8.35, 8.66 ]
[ 0, 0.36, 8.32, 8.66 ]
[ 0, 0.25, 8.39, 8.65 ]
[ 0, 0.25, 8.36, 8.61 ]
[ 0.01, 0.37, 8.33, 8.57 ]
[ 0.01, 0.26, 8.36, 8.69 ]
[ 0.02, 0.26, 8.34, 8.71 ]
[ 0, 0.25, 8.35, 8.75 ]
[ 0, 0.37, 8.35, 8.7 ]
[ 0, 0.25, 8.32, 8.7 ]
